"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can like or unlike thread","User like a thread","PENDING","2022-07-03T22:26:37.5732615+07:00[Asia/Jakarta]","0.0","3.6"
"As a user i can like or unlike thread","User unlike a thread","FAILURE","2022-07-03T22:26:41.1973502+07:00[Asia/Jakarta]","0.0","0.33"
"As a user on login page","User input valid email and password","SUCCESS","2022-07-03T22:26:41.5375871+07:00[Asia/Jakarta]","0.0","0.37"
"As a user on login page","User input valid email and unvalid password","SUCCESS","2022-07-03T22:26:41.913937+07:00[Asia/Jakarta]","0.0","0.8"
"As a user on login page","User input unvalid email and valid password","SUCCESS","2022-07-03T22:26:42.7231184+07:00[Asia/Jakarta]","0.0","0.17"
"As a user on login page","User input unvalid email and unvalid password","SUCCESS","2022-07-03T22:26:42.9020105+07:00[Asia/Jakarta]","0.0","0.16"
"As a user on profil page","User get data profile","PENDING","2022-07-03T22:26:43.1010662+07:00[Asia/Jakarta]","0.0","0.02"
"As a user on profil page","User update data profile","PENDING","2022-07-03T22:26:43.131072+07:00[Asia/Jakarta]","0.0","0.02"
"As a user on register page","User register with valid data","SUCCESS","2022-07-03T22:26:43.1630805+07:00[Asia/Jakarta]","0.0","0.59"
"As a user on register page","User register but no input firstname","SUCCESS","2022-07-03T22:26:43.7612134+07:00[Asia/Jakarta]","0.0","0.38"
"As a user on register page","User register but no input lastname","SUCCESS","2022-07-03T22:26:44.1498167+07:00[Asia/Jakarta]","0.0","0.32"
"As a user on register page","User register but no input email","SUCCESS","2022-07-03T22:26:44.4734211+07:00[Asia/Jakarta]","0.0","0.25"
"As a user on register page","User register but no input password","SUCCESS","2022-07-03T22:26:44.7247176+07:00[Asia/Jakarta]","0.0","0.25"
"As a user on register page","User register but no input tanggal lahir","SUCCESS","2022-07-03T22:26:44.9807765+07:00[Asia/Jakarta]","0.0","0.31"
"As a user on register page","User register but no input jenis kelamin","SUCCESS","2022-07-03T22:26:45.2978454+07:00[Asia/Jakarta]","0.0","0.3"
"As a user on category thread","User get thread category","FAILURE","2022-07-03T22:26:45.606809+07:00[Asia/Jakarta]","0.0","0.33"
"As a user on category thread","User get all thread","FAILURE","2022-07-03T22:26:45.9467243+07:00[Asia/Jakarta]","0.0","0.14"
"As a user on category thread","User get thread by id","FAILURE","2022-07-03T22:26:46.0951668+07:00[Asia/Jakarta]","0.0","0.22"
