"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka page pertanyaan","SUCCESS","2022-07-13T14:14:52.2713409+07:00[Asia/Jakarta]","0.0","14.65"
"User on landing page","User membuka tulis jawaban","SUCCESS","2022-07-13T14:15:08.078258+07:00[Asia/Jakarta]","0.0","5.7"
"User on landing page","user membuka notifikasi","SUCCESS","2022-07-13T14:15:14.2632967+07:00[Asia/Jakarta]","0.0","5.02"
"User on landing page","User membuka search field","SUCCESS","2022-07-13T14:15:19.8420864+07:00[Asia/Jakarta]","0.0","5.4"
"User on landing page","User membuka Explore","SUCCESS","2022-07-13T14:15:25.8146427+07:00[Asia/Jakarta]","0.0","4.41"
"User on landing page","User membuka Trending","SUCCESS","2022-07-13T14:15:30.6463596+07:00[Asia/Jakarta]","0.0","4.83"
"User on landing page","User membuka message","SUCCESS","2022-07-13T14:15:36.2641958+07:00[Asia/Jakarta]","0.0","4.68"
"User on landing page","User membuka Bookmarks","SUCCESS","2022-07-13T14:15:41.3434332+07:00[Asia/Jakarta]","0.0","4.2"
"User on landing page","User membuka Jawab","SUCCESS","2022-07-13T14:15:45.954491+07:00[Asia/Jakarta]","0.0","4.48"
"User on landing page","User membuka Ruang","SUCCESS","2022-07-13T14:15:51.394425+07:00[Asia/Jakarta]","0.0","4.44"
"User on landing page","User membuka Profil","SUCCESS","2022-07-13T14:15:56.4282014+07:00[Asia/Jakarta]","0.0","4.45"
"User on landing page","User membuat Thread","SUCCESS","2022-07-13T14:16:01.2849677+07:00[Asia/Jakarta]","0.0","4.59"
