"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka search field","FAILURE","2022-07-13T01:04:28.2701952+07:00[Asia/Jakarta]","0.0","11.4"
"user on page jawaban","User menjawab pertanyaan","FAILURE","2022-07-13T01:05:53.6089415+07:00[Asia/Jakarta]","0.0","10.0"
"user on register page","User input valid data","FAILURE","2022-07-13T01:06:04.6430651+07:00[Asia/Jakarta]","0.0","14.92"
"user on register page","user input email tanpa menggunakan '@'","FAILURE","2022-07-13T01:06:20.0730474+07:00[Asia/Jakarta]","0.0","12.42"
"user on register page","user tidak memasukkan email","FAILURE","2022-07-13T01:06:33.1288551+07:00[Asia/Jakarta]","0.0","12.73"
"user on register page","user tidak memasukan nama depan","FAILURE","2022-07-13T01:06:46.3605783+07:00[Asia/Jakarta]","0.0","13.22"
"user on register page","user tidak memasukkan password","FAILURE","2022-07-13T01:07:00.5421572+07:00[Asia/Jakarta]","0.0","13.27"
"user on register page","user tidak memasukkan nama belakang","FAILURE","2022-07-13T01:07:14.4140655+07:00[Asia/Jakarta]","0.0","12.23"
"user on register page","user tidak memasukkan jenis kelamin","FAILURE","2022-07-13T01:07:27.1768969+07:00[Asia/Jakarta]","0.0","12.88"
"user on register page","user tidak mengisi confirm password","FAILURE","2022-07-13T01:07:40.633165+07:00[Asia/Jakarta]","0.0","12.6"
